,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,READ,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,WRITE,
Cycles,L1_CLEAN,L2_CLEAN,L3_CLEAN,REMOTE_L1_CLEAN,REMOTE_L2_CLEAN,REMOTE_L3_CLEAN,L1_DIRTY,L2_DIRTY,L3_DIRTY,REMOTE_L1_DIRTY,REMOTE_L2_DIRTY,REMOTE_L3_DIRTY,DRAM,L1_REMOTE_L1_CLEAN,L1_REMOTE_L2_CLEAN,L1_REMOTE_L3_CLEAN,L2_REMOTE_L1_CLEAN,L2_REMOTE_L2_CLEAN,L2_REMOTE_L3_CLEAN,L3_REMOTE_L1_CLEAN,L3_REMOTE_L2_CLEAN,L3_REMOTE_L3_CLEAN,L1_CLEAN,L2_CLEAN,L3_CLEAN,REMOTE_L1_CLEAN,REMOTE_L2_CLEAN,REMOTE_L3_CLEAN,L1_DIRTY,L2_DIRTY,L3_DIRTY,REMOTE_L1_DIRTY,REMOTE_L2_DIRTY,REMOTE_L3_DIRTY,DRAM,L1_REMOTE_L1_CLEAN,L1_REMOTE_L2_CLEAN,L1_REMOTE_L3_CLEAN,L2_REMOTE_L1_CLEAN,L2_REMOTE_L2_CLEAN,L2_REMOTE_L3_CLEAN,L3_REMOTE_L1_CLEAN,L3_REMOTE_L2_CLEAN,L3_REMOTE_L3_CLEAN,
260,0,0,0,99,391,0,0,0,0,447,6925,0,0,34,19,0,4111,4521,0,0,0,0,0,0,0,0,0,0,0,0,0,596,7098,0,0,0,0,0,0,0,0,0,0,0,
270,0,0,0,5,22,0,0,0,0,122,384,0,0,1,1,0,120,176,0,0,0,0,0,0,0,0,0,0,0,0,0,275,292,0,0,0,0,0,0,0,0,0,0,0,
280,0,0,0,7,2,0,0,0,0,1447,36,0,0,0,0,0,1413,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1373,15,0,0,0,0,0,0,0,0,0,0,0,
290,0,0,0,3,0,0,0,0,0,1005,4,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,5,0,0,0,0,0,0,0,0,0,0,0,
300,0,0,0,0,0,0,0,0,0,2556,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,794,93,0,0,0,0,2538,0,0,0,945,963,0,0,0,0,0,0,0,
310,0,0,0,0,0,0,0,0,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3939,2176,0,0,0,0,1017,0,0,0,3981,4016,0,1679,1733,0,0,0,0,
320,0,0,0,0,0,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,406,0,0,0,0,1454,0,0,0,303,271,0,3376,3396,0,0,0,0,
330,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3168,2751,0,0,0,0,430,0,0,0,3433,3382,0,135,44,0,0,0,0,
340,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,3939,0,0,0,0,853,0,0,0,1281,1311,0,3205,4136,0,0,0,0,
350,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,582,0,0,0,0,166,0,0,0,56,54,0,1546,675,0,0,0,0,
360,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,48,0,0,0,0,30,0,0,0,1,2,0,56,15,0,0,0,0,
370,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,0,0,0,3,1,0,0,0,0,
380,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
